Book ID,Title,Sort Character,Primary Author,Primary Author Role,Secondary Author,Secondary Author Role,Publication,Date,Review,Rating,Comment,Private Comment,Summary,Media,Physical Description,Weight,Height,Thickness,Length,Dimensions,Page Count,LCCN,Acquired,Date Started,Date Read,Barcode,BCID,Tags,Collections,Languages,Original Languages,LC Classification,ISBN,ISBNs,Subjects,Dewey Decimal,Dewey Wording,Other Call Number,Copies,Source,Entry Date,From Where,OCLC,Work id,Lending Patron,Lending Status,Lending Start,Lending End,List Price,Purchase Price,Value,Condition,ISSN
312444270,Knowledge Encyclopedia Science!,1,"DK,",Author,,,"DK Children (2018), 208 pages",2018,,,,,"Knowledge Encyclopedia Science! by DK, (2018)",Hardcover,,,,,,,,,,,,,,"science, physics, chemistry, educational, reference, space, energy, biology, matter, engineering, solar system, children, nature, technology, earth",,English,English,Q163 .B38,[1465473637],"[1465473637, 9781465473639]",,503,"Dictionaries, encyclopedias, concordances > Natural sciences & mathematics > Science",,1,amazon.com,2026-04-26,,,22378773,,,,,$24.99 (USD),,,,
312444273,The Greatest Children’s Stories,5,"Agarwal, Stuti",Author,Shalini Soni Mazumdar,Author,"Juggernaut Publication (2021), 200 pages",2021,,,,,The Greatest Children’s Stories by Stuti Agarwal (2021),Paperback,,,,,,,,,,,,,,"children's literature, children's, children's fiction, children, children's books, children's classics",,English,English,,[935345154X],"[935345154X, 9789353451547]",,,,,1,amazon.com books,2026-04-26,,,34485991,,,,,,,,,
312444274,Tinkle Present: The Adventures of Shikari Shambu,1,"Fernandes, Luis",Author,,,"Amar Chitra Katha Pvt. Ltd. (2011), Edition: 1, 72 pages",2011,,,,,Tinkle Present: The Adventures of Shikari Shambu by Luis Fernandes (2011),Paperback,,,,,,,,,,,,,,"adventure, adventure fiction, comics, comic, Comics & Graphic Novels, comic book, comic books, graphic novel, graphic novels",,English,English,PN6790 .I53 .H3,[818999901X],"[818999901X, 9788189999018]",,,,,1,amazon.com books,2026-04-26,,,14211804,,,,,,,,,
312444275,The Danger Gang,5,"Fletcher, Tom",Author,,,"Puffin (2021), 448 pages",2021,,,,,The Danger Gang by Tom Fletcher (2021),Paperback,,,,,,,,,,,,,,"middle grade, fantasy, adventure, children's fiction, magic, friendship, magical realism, supernatural, children's literature, coming of age",,English,English,,[024140746X],"[024140746X, 9780241407462]",,823.92,1900- > 2000- > English & Old English literatures > English fiction > Literature & rhetoric,,1,amazon.com books,2026-04-26,,,25587830,,,,,,,,,
312444286,Puffin Classics Anne of Green Gables Illustrated Edition.,1,"Montgomery, L. M.",Author,,,"Puffin Classics (2024), 448 pages",2024,,,,,Puffin Classics Anne of Green Gables Illustrated Edition. by L. M. Montgomery (2024),Paperback,,,,,,,,,,,,,,"fiction, classics, Prince Edward Island, historical fiction, Anne of Green Gables, Canadian literature, coming of age, literature",,English,English,PZ7 .M768,[0241686741],"[0241686741, 9780241686744]",,813.52,1900-1945 > 1900-1999 > American fiction in English > American literature in English > Literature & rhetoric,,1,amazon.com books,2026-04-26,,,3253,,,,,,,,,
312444287,The Land of Stories: Beyond the Kingdoms,5,"Colfer, Chris",Author,,,"Little, Brown Books for Young Readers (2016), Edition: Reprint, 464 pages",2016,,,,,The Land of Stories: Beyond the Kingdoms by Chris Colfer (2016),Paperback,,,,,,,,,,,,,,"fantasy, fiction, fairy tales, magic, middle grade, children's literature, fairies, juvenile fiction, fairy tale retelling",,English,English,PZ7 .C677474 .L,[0316406872],"[0316406872, 9780316406871]",,813.6,2000- > American fiction in English > American literature in English > Literature & rhetoric,,1,amazon.com,2026-04-26,,,15966619,,,,,$9.99 (USD),,,,
312444288,Sahyadri Adventure: Koleshwar's Secret,1,"Dalal, Deepak",Author,,,"India Penguin (2022), 312 pages",2022,,,,,Sahyadri Adventure: Koleshwar's Secret by Deepak Dalal (2022),Paperback,,,,,,,,,,,,,,"children's literature, children's, children's fiction, children, children's books, adventure, Adventure, adventure fiction",,,English,,[0143449435],"[0143449435, 9780143449430]",,823,English & Old English literatures > English fiction > Literature & rhetoric,,1,amazon.com all media,2026-04-26,,,11505119,,,,,,,,,
312444291,Artemis Fowl: The Eternity Code (Book 3),1,"Colfer, Eoin",Author,,,"Puffin Books (2011), Edition: 3rd, 368 pages",2011,,,,,Artemis Fowl: The Eternity Code (Book 3) by Eoin Colfer (2011),Paperback,,,,,,,,,,,,,,"fantasy, fiction, Artemis Fowl, young adult, science fiction, fairies, adventure, magic, children's, children, faeries, crime, Ireland, humor, children's literature, children's fiction",,English,English,PZ7 .C67714 .A,[014133911X],"[014133911X, 9780141339115]","Adventure and adventurers > Fiction|Children's stories|Computers > Fiction|Computers > Juvenile fiction|Criminals > Juvenile fiction|England > Fiction|England > fiction|Fairies > Fiction|Fairies > Juvenile fiction|Fantasy fiction|Fowl, Artemis (Fictitious character) > Juvenile fiction|Gifted children > Juvenile fiction|Magic > Fiction|Magic > Juvenile Fiction|Magic > Juvenile fiction|fairies > Fiction|fantasy fiction",823.914,1900- > 1901-1999 > 1945-1999 > English & Old English literatures > English fiction > Literature & rhetoric,,1,amazon.com,2026-04-26,,,84549,,,,,,,,,
312444295,"His dark materials : Northern lights, The subtle knife, The amber spyglass",1,"Pullman, Philip",,,,"London : Scholastic, 2008.",2008,,,,,"His dark materials : Northern lights, The subtle knife, The amber spyglass by Philip Pullman (2008)",Paperback,1024 p.; 9.2 inches,2.65 pounds,9.2 inches,2.3 inches,6 inches,9.2 x 6 x 2.3  inches,1024 ,,,,,,,"fantasy, fiction, religion, science fiction, children's literature, trilogy, alternate universe, Philip Pullman",,,English,PZ7 .P968 .A,[9781407109428],"[9781407109428, 1407109421]",,823.914,1900- > 1901-1999 > 1945-1999 > English & Old English literatures > English fiction > Literature & rhetoric,,1,"HelMet - Helmet-kirjasto / Helsinki Metropolitan Libraries (Helsinki, Uusimaa)",2026-04-26,,,8338263,,,,,,,,,
312444298,The Fire Keeper (A Storm Runner Novel (2)),5,"Cervantes, J. C.",Author,,,"Thorndike Striving Reader (2020), Edition: Large type / Large print, 623 pages",2020,,,,,The Fire Keeper (A Storm Runner Novel (2)) by J. C. Cervantes (2020),Hardcover,,,,,,,,,,,,,,"fantasy, realistic fiction, Mayan, fiction, Mayan mythology, young adult, middle grade, adventure, LGBTQ, action/adventure, people with disabilities, magic, young adult fiction, fathers and sons, sports, science fiction",,,English,PZ7 .C3198 .F,[1432875558],"[1432875558, 9781432875558]",,813.6,2000- > American fiction in English > American literature in English > Literature & rhetoric,,1,amazon.com all media,2026-04-26,,,22408574,,,,,$21.99 (USD),,,,
